pciutils-devel-3.2.1-4.fc21.x86_64,pciutils-3.2.1-4.fc21.src.rpm
acpica-tools-20140828-1.fc21.x86_64,acpica-tools-20140828-1.fc21.src.rpm
1:transfig-3.2.5d-15.fc21.x86_64,1:transfig-3.2.5d-15.fc21.src.rpm
mingw64-binutils-2.24-4.fc21.x86_64,mingw-binutils-2.24-4.fc21.src.rpm
4:texlive-times-svn31835.0-1.1.fc21.noarch,4:texlive-2014-1.1.20140525_r34255.fc21.src.rpm
4:texlive-ntgclass-svn15878.0-1.1.fc21.noarch,4:texlive-2014-1.1.20140525_r34255.fc21.src.rpm
coreutils-8.22-18.fc21.x86_64,coreutils-8.22-18.fc21.src.rpm
perl-Carp-1.33.01-2.fc21.noarch,perl-Carp-1.33.01-2.fc21.src.rpm
diffutils-3.3-9.fc21.x86_64,diffutils-3.3-9.fc21.src.rpm
binutils-2.24-21.fc21.x86_64,binutils-2.24-21.fc21.src.rpm
binutils-devel-2.24-21.fc21.x86_64,binutils-2.24-21.fc21.src.rpm
bison-3.0.2-3.fc21.x86_64,bison-3.0.2-3.fc21.src.rpm
gzip-1.6-5.fc21.x86_64,gzip-1.6-5.fc21.src.rpm
net-tools-2.0-0.28.20140707git.fc21.x86_64,net-tools-2.0-0.28.20140707git.fc21.src.rpm
newt-devel-0.52.17-4.fc21.x86_64,newt-0.52.17-4.fc21.src.rpm
bc-1.06.95-13.fc21.x86_64,bc-1.06.95-13.fc21.src.rpm
bash-4.3.30-2.fc21.x86_64,bash-4.3.30-2.fc21.src.rpm
flex-2.5.37-7.fc21.x86_64,flex-2.5.37-7.fc21.src.rpm
rpm-build-4.12.0.1-2.fc21.x86_64,rpm-4.12.0.1-2.fc21.src.rpm
xz-5.1.2-14alpha.fc21.x86_64,xz-5.1.2-14alpha.fc21.src.rpm
1:findutils-4.5.12-7.fc21.x86_64,1:findutils-4.5.12-7.fc21.src.rpm
patch-2.7.1-9.fc21.x86_64,patch-2.7.1-9.fc21.src.rpm
redhat-rpm-config-26-1.fc21.noarch,redhat-rpm-config-26-1.fc21.src.rpm
1:make-4.0-3.fc21.x86_64,1:make-4.0-3.fc21.src.rpm
elfutils-0.160-1.fc21.x86_64,elfutils-0.160-1.fc21.src.rpm
hostname-3.15-4.fc21.x86_64,hostname-3.15-4.fc21.src.rpm
hmaccalc-0.9.13-4.fc21.x86_64,hmaccalc-0.9.13-4.fc21.src.rpm
kmod-18-3.fc21.x86_64,kmod-18-3.fc21.src.rpm
bzip2-1.0.6-14.fc21.x86_64,bzip2-1.0.6-14.fc21.src.rpm
perl-ExtUtils-Embed-1.30-304.fc21.noarch,perl-5.18.4-304.fc21.src.rpm
