elfutils,elfutils-0.160-1.fc21.x86_64
hostname,hostname-3.15-4.fc21.x86_64
hmaccalc,hmaccalc-0.9.13-4.fc21.x86_64
kmod,kmod-18-3.fc21.x86_64
bzip2,bzip2-1.0.6-14.fc21.x86_64
perl(ExtUtils::Embed),perl-ExtUtils-Embed-1.30-304.fc21.noarch
gawk,gawk-4.1.1-5.fc21.x86_64
tar,2:tar-1.27.1-7.fc21.x86_64
elfutils-devel,elfutils-devel-0.160-1.fc21.x86_64
gcc,gcc-4.9.1-11.fc21.x86_64
python,python-2.7.8-4.1.fc21.x86_64
python-setuptools,python-setuptools-2.0-8.fc21.noarch
transifex-client,transifex-client-0.10-3.fc21.noarch
gcc-gfortran,gcc-gfortran-4.9.1-11.fc21.x86_64
perl-macros,4:perl-macros-5.18.4-304.fc21.x86_64
perl(Text::ParseWords),perl-Text-ParseWords-3.29-6.fc21.noarch
perl(Data::Dumper),perl-Data-Dumper-2.154-1.fc21.x86_64
emacs,1:emacs-24.3-27.fc21.x86_64
erlang,erlang-17.2.2-1.fc21.x86_64
systemd-units,systemd-215-19.fc21.x86_64
librdmacm-devel,librdmacm-devel-1.0.18.1-3.fc21.x86_64
opensm-devel,opensm-devel-3.3.17-4.fc21.x86_64
hwloc-devel,hwloc-devel-1.9.1-1.fc21.x86_64
torque-devel,torque-devel-4.2.8-1.fc21.x86_64
valgrind-devel,1:valgrind-devel-3.10.0-1.fc21.x86_64
libibcm-devel,libibcm-devel-1.0.5-11.fc21.x86_64
libtool-ltdl-devel,libtool-ltdl-devel-2.4.2-30.fc21.x86_64
libevent-devel,libevent-devel-2.0.21-6.fc21.x86_64
java-devel,1:java-1.8.0-openjdk-devel-1.8.0.20-12.b26.fc21.x86_64
hwloc,hwloc-1.9.1-1.fc21.x86_64
libibverbs-devel,libibverbs-devel-1.1.8-3.fc21.x86_64
papi-devel,papi-devel-5.3.2-2.fc21.x86_64
libusbx-devel,libusbx-devel-1.0.19-2.fc21.x86_64
libieee1284-devel,libieee1284-devel-0.2.11-17.fc21.x86_64
libtiff-devel,libtiff-devel-4.0.3-18.fc21.x86_64
libjpeg-devel,libjpeg-turbo-devel-1.3.1-4.fc21.x86_64
/usr/bin/latex,4:texlive-latex-bin-bin-svn14050.0-1.1.20140525_r34255.fc21.noarch
libv4l-devel,libv4l-devel-1.6.0-1.fc21.x86_64
gphoto2-devel,libgphoto2-devel-2.5.3-9.fc21.x86_64
bash-completion,1:bash-completion-2.1-5.fc21.noarch
pygpgme,pygpgme-0.3-12.fc21.x86_64
rpm,rpm-4.12.0.1-2.fc21.x86_64
rpm-python,rpm-python-4.12.0.1-2.fc21.x86_64
yum-metadata-parser,yum-metadata-parser-1.1.4-14.fc21.x86_64
python-sqlite,python-2.7.8-4.1.fc21.x86_64
python-iniparse,python-iniparse-0.4-15.fc21.noarch
webkitgtk3-devel,webkitgtk3-devel-2.4.6-1.fc21.x86_64
libxslt-devel,libxslt-devel-1.1.28-8.fc21.x86_64
sqlite-devel,sqlite-devel-3.8.6-2.fc21.x86_64
libxml2-devel,libxml2-devel-2.9.1-5.fc21.x86_64
itstool,itstool-2.0.2-2.fc21.noarch
gettext-devel,gettext-devel-0.19.2-4.fc21.x86_64
yelp-xsl-devel,yelp-xsl-devel-3.14.0-1.fc21.noarch
chrpath,chrpath-0.13-15.fc21.x86_64
webkitgtk4-devel,webkitgtk4-devel-2.6.0-2.fc21.x86_64
libwnck3-devel,libwnck3-devel-3.4.9-1.fc21.x86_64
gnome-common,gnome-common-3.14.0-1.fc21.noarch
gsettings-desktop-schemas-devel,gsettings-desktop-schemas-devel-3.14.0-1.fc21.x86_64
glib2-devel,glib2-devel-2.42.0-1.fc21.x86_64
libsoup-devel,libsoup-devel-2.48.0-1.fc21.x86_64
libsecret-devel,libsecret-devel-0.18-6.fc21.x86_64
avahi-gobject-devel,avahi-gobject-devel-0.6.31-29.fc21.x86_64
gnome-desktop3-devel,gnome-desktop3-devel-3.14.0-2.fc21.x86_64
iso-codes-devel,iso-codes-devel-3.56-1.fc21.noarch
gcr-devel,gcr-devel-3.14.0-2.fc21.x86_64
libnotify-devel,libnotify-devel-0.7.6-4.fc21.x86_64
ImageMagick,ImageMagick-6.8.8.10-5.fc21.x86_64
sane-backends-devel,sane-backends-devel-1.0.24-12.fc21.x86_64
netpbm-progs,netpbm-progs-10.66.02-3.fc21.x86_64
gimp-devel,2:gimp-devel-2.8.14-1.fc21.x86_64
lcms2-devel,lcms2-devel-2.6-4.fc21.x86_64
libpng-devel,2:libpng-devel-1.6.10-3.fc21.x86_64
tcl-devel,1:tcl-devel-8.6.2-1.fc21.x86_64
tk-devel,1:tk-devel-8.6.2-1.fc21.x86_64
libicu-devel,libicu-devel-52.1-4.fc21.x86_64
libgdiplus-devel,libgdiplus-devel-2.10.9-3.fc21.x86_64
mono-core,mono-core-2.10.8-8.fc21.x86_64
pkgconfig,1:pkgconfig-0.28-6.fc21.x86_64
policycoreutils-devel,policycoreutils-devel-2.3-7.1.fc21.x86_64
tcsh,tcsh-6.18.01-12.fc21.x86_64
libuser-devel,libuser-devel-0.60-6.fc21.x86_64
python3-devel,python3-devel-3.4.1-15.fc21.x86_64
libcap-ng-devel,libcap-ng-devel-0.7.4-7.fc21.x86_64
systemd-devel,systemd-devel-215-19.fc21.x86_64
popt-devel,popt-devel-1.16-5.fc21.x86_64
pam-devel,pam-devel-1.1.8-16.fc21.x86_64
libutempter-devel,libutempter-devel-1.1.6-6.fc21.x86_64
libselinux-devel,libselinux-devel-2.3-4.fc21.x86_64
hunspell-devel,hunspell-devel-1.3.3-3.fc21.x86_64
gstreamer1-plugins-base-devel,gstreamer1-plugins-base-devel-1.4.2-1.fc21.x86_64
startup-notification-devel,startup-notification-devel-0.12-9.fc21.x86_64
mesa-libGL-devel,mesa-libGL-devel-10.3-1.20140927.fc21.x86_64
libXt-devel,libXt-devel-1.1.4-10.fc21.x86_64
nss-static,nss-devel-3.17.1-1.fc21.x86_64
system-bookmarks,fedora-bookmarks-15-5.fc21.noarch
krb5-devel,krb5-devel-1.12.2-9.fc21.x86_64
freetype-devel,freetype-devel-2.5.3-8.fc21.x86_64
autoconf213,autoconf213-2.13-32.fc21.noarch
zip,zip-3.0-12.fc21.x86_64
libcurl-devel,libcurl-devel-7.37.0-7.fc21.x86_64
libXrender-devel,libXrender-devel-0.9.8-4.fc21.x86_64
alsa-lib-devel,alsa-lib-devel-1.0.28-2.fc21.x86_64
gstreamer1-devel,gstreamer1-devel-1.4.2-1.fc21.x86_64
pulseaudio-libs-devel,pulseaudio-libs-devel-5.0-10.fc21.x86_64
libIDL-devel,libIDL-devel-0.8.14-9.fc21.x86_64
libvpx-devel,libvpx-devel-1.3.0-6.fc21.x86_64
nspr-devel,nspr-devel-4.10.7-1.fc21.x86_64
libffi-devel,libffi-devel-3.1-6.fc21.x86_64
jpackage-utils,javapackages-tools-4.1.0-2.fc21.noarch
junit,1:junit-4.11-14.fc21.noarch
ant,ant-1.9.4-3.fc21.noarch
tomcat-servlet-3.0-api,tomcat-servlet-3.0-api-7.0.54-3.fc21.noarch
cairo-devel,cairo-devel-1.13.1-0.4.git337ab1f.fc21.x86_64
mpfr-devel,mpfr-devel-3.1.2-6.fc21.x86_64
gmp-devel,1:gmp-devel-6.0.0-7.fc21.x86_64
texinfo-tex,texinfo-tex-5.2-5.fc21.x86_64
glibc-devel,glibc-devel-2.20-5.fc21.x86_64
elfutils-libelf-devel,elfutils-libelf-devel-0.160-1.fc21.x86_64
glibc-static,glibc-static-2.20-5.fc21.x86_64
doxygen,1:doxygen-1.8.8-1.fc21.x86_64
systemtap-sdt-devel,systemtap-sdt-devel-2.6-3.fc21.x86_64
/usr/bin/pod2man,perl-podlators-2.5.3-2.fc21.noarch
sharutils,sharutils-4.14-4.fc21.x86_64
libmpc-devel,libmpc-devel-1.0.2-3.fc21.x86_64
gdb,gdb-7.8-25.fc21.x86_64
texlive-collection-latex,4:texlive-collection-latex-svn33055.0-1.1.20140525_r34255.fc21.noarch
libgnat,libgnat-4.9.1-11.fc21.x86_64
dblatex,dblatex-0.3.5-2.fc21.noarch
docbook5-style-xsl,docbook5-style-xsl-1.78.1-3.fc21.noarch
dejagnu,1:dejagnu-1.5.1-4.fc21.noarch
gcc-gnat,gcc-gnat-4.9.1-11.fc21.x86_64
js-devel,1:js-devel-1.8.5-19.fc21.x86_64
automake,automake-1.14.1-5.fc21.noarch
gpm-devel,gpm-devel-1.20.7-6.fc21.x86_64
libidn2-devel,libidn2-devel-0.8-7.fc21.x86_64
lua-devel,lua-devel-5.2.2-8.fc21.x86_64
expat-devel,expat-devel-2.1.0-10.fc21.x86_64
nss_compat_ossl-devel,nss_compat_ossl-devel-0.9.6-8.fc21.x86_64
device-mapper-libs,device-mapper-libs-1.02.90-1.fc21.x86_64
dmraid-devel,dmraid-devel-1.0.0.rc16-25.fc21.x86_64
device-mapper-devel,device-mapper-devel-1.02.90-1.fc21.x86_64
libsepol-devel,libsepol-devel-2.3-4.fc21.x86_64
device-mapper-event-devel,device-mapper-event-devel-1.02.90-1.fc21.x86_64
libraw1394-devel,libraw1394-devel-2.1.0-4.fc21.x86_64
iso-codes,iso-codes-3.56-1.fc21.noarch
glibc-common,glibc-common-2.20-5.fc21.x86_64
glibc,glibc-2.20-5.fc21.x86_64
python2-devel,python-devel-2.7.8-4.1.fc21.x86_64
numpy,1:numpy-1.8.2-2.fc21.x86_64
libtool,libtool-2.4.2-30.fc21.x86_64
libglade2-devel,libglade2-devel-2.6.4-12.fc21.x86_64
pygobject2-devel,pygobject2-devel-2.28.6-13.fc21.x86_64
docbook-style-xsl,docbook-style-xsl-1.78.1-3.fc21.noarch
libxslt,libxslt-1.1.28-8.fc21.x86_64
pycairo-devel,pycairo-devel-1.8.10-12.fc21.x86_64
pkgconfig(libsystemd-journal),systemd-devel-215-19.fc21.x86_64
pkgconfig(libsystemd-daemon),systemd-devel-215-19.fc21.x86_64
pkgconfig(dbus-1),1:dbus-devel-1.8.6-3.fc21.x86_64
pkgconfig(libusb-1.0),libusbx-devel-1.0.19-2.fc21.x86_64
python-cups,python-cups-1.9.68-1.fc21.x86_64
libacl-devel,libacl-devel-2.2.52-7.fc21.x86_64
pkgconfig(avahi-client),avahi-devel-0.6.31-29.fc21.x86_64
openldap-devel,openldap-devel-2.4.40-1.fc21.x86_64
e2fsprogs,e2fsprogs-1.42.11-3.fc21.x86_64
nfs-utils,1:nfs-utils-1.3.0-7.0.fc21.x86_64
cyrus-sasl-devel,cyrus-sasl-devel-2.1.26-19.fc21.x86_64
hesiod-devel,hesiod-devel-3.2.1-4.fc21.x86_64
libtirpc-devel,libtirpc-devel-0.2.5-0.1.fc21.x86_64
module-init-tools,kmod-18-3.fc21.x86_64
libsss_autofs,sssd-common-1.12.1-2.fc21.x86_64
util-linux,util-linux-2.25.1-0.1.fc21.x86_64
kernel-headers,kernel-headers-3.17.0-301.fc21.x86_64
gd-devel,gd-devel-2.1.0-7.fc21.x86_64
/bin/awk,gawk-4.1.1-5.fc21.x86_64
sed,sed-4.2.2-9.fc21.x86_64
/bin/ps,procps-ng-3.3.9-12.fc21.x86_64
libcap-devel,libcap-devel-2.24-7.fc21.x86_64
libstdc++-static,libstdc++-static-4.9.1-11.fc21.x86_64
/bin/kill,util-linux-2.25.1-0.1.fc21.x86_64
perl-XML-Parser,perl-XML-Parser-2.41-13.fc21.x86_64
pixman-devel,pixman-devel-0.32.6-3.fc21.x86_64
libXpm-devel,libXpm-devel-3.5.11-3.fc21.x86_64
libudev-devel,systemd-devel-215-19.fc21.x86_64
libxkbfile-devel,libxkbfile-devel-1.0.8-6.fc21.x86_64
libXfixes-devel,libXfixes-devel-5.0.1-4.fc21.x86_64
libXext-devel,libXext-devel-1.3.3-2.fc21.x86_64
libdrm-devel,libdrm-devel-2.4.58-1.fc21.x86_64
libXi-devel,libXi-devel-1.7.4-2.fc21.x86_64
mesa-libEGL-devel,mesa-libEGL-devel-10.3-1.20140927.fc21.x86_64
pkgconfig(xcb-icccm),xcb-util-wm-devel-0.4.1-4.fc21.x86_64
libXau-devel,libXau-devel-1.0.8-4.fc21.x86_64
xorg-x11-util-macros,xorg-x11-util-macros-1.19.0-3.fc21.noarch
xorg-x11-font-utils,1:xorg-x11-font-utils-7.5-21.fc21.x86_64
mesa-libgbm-devel,mesa-libgbm-devel-10.3-1.20140927.fc21.x86_64
libXaw-devel,libXaw-devel-1.0.12-4.fc21.x86_64
git-core,git-2.1.0-1.fc21.x86_64
pkgconfig(wayland-client),libwayland-client-devel-1.6.0-1.fc21.x86_64
xorg-x11-xtrans-devel,xorg-x11-xtrans-devel-1.3.5-1.fc21.noarch
xorg-x11-proto-devel,xorg-x11-proto-devel-7.7-12.fc21.noarch
pkgconfig(xcb-aux),xcb-util-devel-0.3.9-5.fc21.x86_64
libXdmcp-devel,libXdmcp-devel-1.1.1-7.fc21.x86_64
libXmu-devel,libXmu-devel-1.1.2-2.fc21.x86_64
libXtst-devel,libXtst-devel-1.2.2-4.fc21.x86_64
libepoxy-devel,libepoxy-devel-1.2-0.1.20140307gitd4ad80f.fc21.x86_64
wayland-devel,wayland-devel-1.6.0-1.fc21.x86_64
pkgconfig(xcb-image),xcb-util-image-devel-0.3.9-5.fc21.x86_64
pkgconfig(xcb-keysyms),xcb-util-keysyms-devel-0.3.9-5.fc21.x86_64
libXres-devel,libXres-devel-1.0.7-4.fc21.x86_64
libdmx-devel,libdmx-devel-1.1.3-4.fc21.x86_64
libXfont-devel,libXfont-devel-1.5.0-2.fc21.x86_64
libXv-devel,libXv-devel-1.0.10-2.fc21.x86_64
libXinerama-devel,libXinerama-devel-1.1.3-4.fc21.x86_64
libunwind-devel,libunwind-devel-1.1-7.fc21.x86_64
pkgconfig(epoxy),libepoxy-devel-1.2-0.1.20140307gitd4ad80f.fc21.x86_64
libfontenc-devel,libfontenc-devel-1.1.2-2.fc21.x86_64
pkgconfig(xshmfence),libxshmfence-devel-1.1-3.fc21.x86_64
byacc,byacc-1.9.20130925-4.fc21.x86_64
libpciaccess-devel,libpciaccess-devel-0.13.3-0.3.fc21.x86_64
pcre-devel,pcre-devel-8.35-6.fc21.1.x86_64
aspell-devel,12:aspell-devel-0.60.6.1-10.fc21.x86_64
firebird-devel,firebird-devel-2.5.2.26539.0-12.fc21.x86_64
t1lib-devel,t1lib-devel-5.1.2-16.fc21.x86_64
nginx-filesystem,1:nginx-filesystem-1.6.2-2.fc21.noarch
gcc-c++,gcc-c++-4.9.1-11.fc21.x86_64
libdb-devel,libdb-devel-5.3.28-9.fc21.x86_64
postgresql-devel,postgresql-devel-9.3.5-4.fc21.x86_64
freetds-devel,freetds-devel-0.91-15.git0a42888.fc21.x86_64
libstdc++-devel,libstdc++-devel-4.9.1-11.fc21.x86_64
unixODBC-devel,unixODBC-devel-2.3.2-6.fc21.x86_64
smtpdaemon,sendmail-8.14.9-5.fc21.x86_64
recode-devel,recode-devel-3.6-40.fc21.x86_64
libtidy-devel,libtidy-devel-0.99.0-33.20091203.fc21.x86_64
httpd-devel,httpd-devel-2.4.10-9.fc21.x86_64
libedit-devel,libedit-devel-3.1-8.20140213cvs.fc21.x86_64
enchant-devel,1:enchant-devel-1.6.0-9.fc21.x86_64
libc-client-devel,uw-imap-devel-2007f-9.fc21.x86_64
net-snmp-devel,1:net-snmp-devel-5.7.2-23.fc21.x86_64
httpd-filesystem,httpd-filesystem-2.4.10-9.fc21.noarch
tokyocabinet-devel,tokyocabinet-devel-1.4.48-4.fc21.x86_64
libmcrypt-devel,libmcrypt-devel-2.5.8-16.fc21.x86_64
parted-devel,parted-devel-3.2-3.fc21.x86_64
xfsprogs,xfsprogs-3.2.1-2.fc21.x86_64
readline-devel,readline-devel-6.3-5.fc21.x86_64
perl-Digest-CRC,perl-Digest-CRC-0.18-9.fc21.x86_64
dosfstools,dosfstools-3.0.26-3.fc21.x86_64
git,git-2.1.0-1.fc21.x86_64
gnupg,gnupg-1.4.18-2.fc21.x86_64
libblkid-devel,libblkid-devel-2.25.1-0.1.fc21.x86_64
docbook-style-dsssl,docbook-style-dsssl-1.79-20.fc21.noarch
openjade,openjade-1.3.2-46.fc21.x86_64
wireless-tools-devel,1:wireless-tools-devel-29-12.1.fc21.x86_64
docbook-utils,docbook-utils-0.6.14-38.fc21.noarch
upower-devel,upower-devel-0.99.1-1.fc21.x86_64
gtk2,gtk2-2.24.24-4.fc21.x86_64
icon-naming-utils,icon-naming-utils-0.8.90-12.fc21.noarch
librsvg2,librsvg2-2.40.4-1.fc21.x86_64
rsh,rsh-0.17-77.fc21.x86_64
attr,attr-2.4.47-9.fc21.x86_64
policycoreutils,policycoreutils-2.3-7.1.fc21.x86_64
acl,acl-2.2.52-7.fc21.x86_64
kmod-devel,kmod-devel-18-3.fc21.x86_64
dbus-glib-devel,dbus-glib-devel-0.100.2-4.fc21.x86_64
polkit-devel,polkit-devel-0.112-7.fc21.x86_64
xdg-utils,xdg-utils-1.1.0-0.28.rc2.fc21.noarch
cups-devel,1:cups-devel-1.7.5-5.fc21.x86_64
procps,procps-ng-3.3.9-12.fc21.x86_64
gdbm-devel,gdbm-devel-1.11-4.fc21.x86_64
rsyslog,rsyslog-7.4.10-5.fc21.x86_64
groff,groff-1.22.2-11.fc21.x86_64
libXcursor-devel,libXcursor-devel-1.1.14-4.fc21.x86_64
xorg-x11-xbitmaps,xorg-x11-xbitmaps-1.1.1-7.fc21.noarch
libXxf86vm-devel,libXxf86vm-devel-1.1.3-4.fc21.x86_64
libXft-devel,libXft-devel-2.3.2-2.fc21.x86_64
libICE-devel,libICE-devel-1.0.9-2.fc21.x86_64
mesa-libGLU-devel,mesa-libGLU-devel-9.0.0-7.fc21.x86_64
librsvg2-devel,librsvg2-devel-2.40.4-1.fc21.x86_64
fuse-devel,fuse-devel-2.9.3-4.fc21.x86_64
libwnck-devel,libwnck-devel-2.31.0-4.fc21.x86_64
libXdamage-devel,libXdamage-devel-1.1.4-6.fc21.x86_64
