python3-PyQt4,python3-PyQt4-4.11.2-1.fc21.x86_64
nodejs-less,nodejs-less-1.7.0-2.fc21.noarch
gstreamer-python-devel,gstreamer-python-devel-0.10.22-7.fc21.x86_64
gnome-python2-libegg,gnome-python2-libegg-2.25.3-45.fc21.x86_64
gnome-python2-extras,gnome-python2-extras-2.25.3-45.fc21.x86_64
gstreamer-plugins-good-devel,gstreamer-plugins-good-devel-docs-0.10.31-13.fc21.noarch
python-xlib,python-xlib-0.15-0.10.rc1.fc21.noarch
pdf-renderer,pdf-renderer-0-0.15.128svn.20110310.fc21.noarch
dom4j,dom4j-1.6.1-22.fc21.noarch
bouncycastle-mail,bouncycastle-mail-1.50-5.fc21.noarch
bouncycastle-pkix,bouncycastle-pkix-1.50-3.fc21.noarch
itcl-devel,itcl-devel-4.0.0-4.fc21.x86_64
udns-devel,udns-devel-0.4-3.fc21.x86_64
opus-devel,opus-devel-1.1-3.fc21.x86_64
libffado-devel,libffado-devel-2.2.1-3.fc21.x86_64
mvn(xerces:xercesImpl),xerces-j2-2.11.0-22.fc21.noarch
mvn(xml-apis:xml-apis),xml-commons-apis-1.4.01-18.fc21.noarch
mvn(jdom:jdom),jdom-1.1.3-7.fc21.noarch
mvn(dom4j:dom4j),dom4j-1.6.1-22.fc21.noarch
cmigemo-devel,cmigemo-devel-1.3-0.11.date20110227.fc21.2.x86_64
efont-unicode-bdf,efont-unicode-bdf-0.4.2-16.fc21.noarch
xorg-x11-fonts-misc,xorg-x11-fonts-misc-7.5-10.fc21.noarch
xorg-x11-fonts-base,xorg-x11-fonts-misc-7.5-10.fc21.noarch
jisksp16-1990-fonts,jisksp16-1990-fonts-0.983-11.fc21.noarch
fonts-japanese,japanese-bitmap-fonts-0.20080710-15.fc21.noarch
jansi,jansi-1.11-6.fc21.noarch
fusesource-pom,fusesource-pom-1.9-9.fc21.noarch
gluegen-source,gluegen-source-1-0.20102509svn17.fc21.noarch
cpptasks,cpptasks-1.0b5-13.fc21.noarch
jthread-devel,jthread-devel-1.2.1-14.fc21.x86_64
libtunepimp-devel,libtunepimp-devel-0.5.3-25.fc21.x86_64
jnr-posix,jnr-posix-3.0.1-2.fc21.noarch
libreadline-java,libreadline-java-0.8.0-37.fc21.x86_64
jnr-ffi,jnr-ffi-0.7.10-5.fc21.noarch
jffi,jffi-1.2.6-8.fc21.x86_64
apache-commons-compress,apache-commons-compress-1.8.1-2.fc21.noarch
antlr32-tool,antlr32-tool-3.2-5.fc21.noarch
jline1,jline1-1.0-10.fc21.noarch
jnr-constants,jnr-constants-0.8.4-6.fc21.noarch
pkgconfig(uuid),libuuid-devel-2.25.1-0.1.fc21.x86_64
/usr/share/fonts/bitstream-vera/VeraBd.ttf,bitstream-vera-sans-fonts-1.10-24.fc21.noarch
/usr/share/fonts/bitstream-vera/VeraIt.ttf,bitstream-vera-sans-fonts-1.10-24.fc21.noarch
/usr/share/fonts/bitstream-vera/Vera.ttf,bitstream-vera-sans-fonts-1.10-24.fc21.noarch
plib-devel,plib-devel-1.8.5-12.fc21.x86_64
/usr/share/fonts/bitstream-vera/VeraMoIt.ttf,bitstream-vera-sans-mono-fonts-1.10-24.fc21.noarch
/usr/share/fonts/bitstream-vera/VeraSe.ttf,bitstream-vera-serif-fonts-1.10-24.fc21.noarch
/usr/share/fonts/bitstream-vera/VeraBI.ttf,bitstream-vera-sans-fonts-1.10-24.fc21.noarch
/usr/share/fonts/bitstream-vera/VeraSeBd.ttf,bitstream-vera-serif-fonts-1.10-24.fc21.noarch
/usr/share/fonts/bitstream-vera/VeraMoBd.ttf,bitstream-vera-sans-mono-fonts-1.10-24.fc21.noarch
/usr/share/fonts/bitstream-vera/VeraMoBI.ttf,bitstream-vera-sans-mono-fonts-1.10-24.fc21.noarch
/usr/share/fonts/bitstream-vera/VeraMono.ttf,bitstream-vera-sans-mono-fonts-1.10-24.fc21.noarch
analitza-devel,analitza-devel-4.14.1-1.fc21.x86_64
libkdeedu-static,libkdeedu-static-4.14.1-1.fc21.x86_64
libkdeedu-devel,libkdeedu-devel-4.14.1-1.fc21.x86_64
texlive-collection-htmlxml,4:texlive-collection-htmlxml-svn33101.0-1.1.20140525_r34255.fc21.noarch
texlive-collection-basic,4:texlive-collection-basic-svn33040.0-1.1.20140525_r34255.fc21.noarch
texlive-collection-genericrecommended,4:texlive-collection-genericrecommended-svn30396.0-1.1.20140525_r34255.fc21.noarch
rubygem(gettext),rubygem-gettext-3.1.4-1.fc21.noarch
hyperestraier-devel,hyperestraier-devel-1.4.13-21.fc21.x86_64
rubygem-gtk2-devel,rubygem-gtk2-devel-2.2.0-5.fc21.x86_64
gecko-devel-unstable,xulrunner-devel-32.0.2-1.fc21.x86_64
rubygems-devel,rubygems-devel-2.2.2-101.fc21.noarch
poppler-qt4-devel,poppler-qt-devel-0.26.2-3.fc21.x86_64
librapi-devel,librapi-devel-0.15.2-7.fc21.x86_64
libsynce-devel,libsynce-devel-0.15.1-8.fc21.x86_64
kdebase4-devel,kde-baseapps-devel-4.14.1-2.fc21.x86_64
libchromaprint-devel,libchromaprint-devel-1.1-3.fc21.x86_64
pkgconfig(gstreamer-1.0),gstreamer1-devel-1.4.2-1.fc21.x86_64
libXp-devel,libXp-devel-1.0.2-4.fc21.x86_64
PyQt,PyQt-3.18.1-28.fc21.x86_64
PyKDE,PyKDE-3.16.7-4.fc21.x86_64
qimageblitz-devel,qimageblitz-devel-0.0.6-8.fc21.x86_64
podofo-devel,podofo-devel-0.9.1-16.fc21.x86_64
phonon-devel,phonon-devel-4.8.0-2.fc21.x86_64
muParser-devel,muParser-devel-2.2.3-4.fc21.x86_64
matio-devel,matio-devel-1.5.2-4.fc21.x86_64
getdata-devel,getdata-devel-0.8.5-3.fc21.x86_64
netcdf-cxx-devel,netcdf-cxx-devel-4.2-11.fc21.x86_64
libkdegames-devel,libkdegames-devel-4.14.1-1.fc21.x86_64
gpsim-devel,gpsim-devel-0.27.0-3.fc21.x86_64
libktorrent-devel,libktorrent-devel-1.3.1-10.fc21.x86_64
fftw3-devel,fftw-devel-3.3.4-5.fc21.x86_64
bitmap-devel,bitmap-1.0.7-4.fc21.x86_64
libdsk-devel,libdsk-devel-1.2.2-3.fc21.x86_64
liboggz-devel,liboggz-devel-1.1.1-8.fc21.x86_64
libcmml-devel,libcmml-devel-0.9.1-15.fc21.x86_64
mod_perl-devel,mod_perl-devel-2.0.8-9.20140624svn1602105.fc21.x86_64
perl(Apache::Test),mod_perl-devel-2.0.8-9.20140624svn1602105.fc21.x86_64
perl(ExtUtils::XSBuilder),perl-ExtUtils-XSBuilder-0.28-19.fc21.noarch
/sbin/install-info,info-5.2-5.fc21.x86_64
glut-devel,freeglut-devel-2.8.1-5.fc21.x86_64
ortp-devel,1:ortp-devel-0.22.0-4.fc21.x86_64
libosip2-devel,libosip2-devel-3.6.0-8.fc21.x86_64
zzuf,zzuf-0.13-9.20100215.fc21.x86_64
protobuf-c-devel,protobuf-c-devel-1.0.1-2.fc21.x86_64
mdbtools-devel,mdbtools-devel-0.7.1-2.fc21.x86_64
libdb-sql-devel,libdb-sql-devel-5.3.28-9.fc21.x86_64
goocanvas2-devel,goocanvas2-devel-2.0.2-4.fc21.x86_64
mm-common,mm-common-0.9.7-1.fc21.noarch
libgda-bdb,1:libgda-bdb-5.2.2-7.fc21.x86_64
libsrtp-devel,libsrtp-devel-1.4.4-13.20101004cvs.fc21.x86_64
raptor2-devel,raptor2-devel-2.0.14-3.fc21.x86_64
libebml-devel,libebml-devel-1.3.0-4.fc21.x86_64
nessus-libraries-devel,nessus-libraries-devel-2.2.11-10.fc21.x86_64
libnfnetlink-devel,libnfnetlink-devel-1.0.1-6.fc21.x86_64
libmnl-devel,libmnl-devel-1.0.3-9.fc21.x86_64
libopensync-devel,1:libopensync-devel-0.22-17.fc21.x86_64
openobex-devel,openobex-devel-1.7.1-5.fc21.x86_64
dahdi-tools-devel,dahdi-tools-devel-2.7.0-5.fc21.x86_64
Pyrex,Pyrex-0.9.9-8.fc21.noarch
libmimedir-static,libmimedir-static-0.4-13.fc21.x86_64
libmimedir-devel,libmimedir-devel-0.4-13.fc21.x86_64
/usr/include/popt.h,popt-devel-1.16-5.fc21.x86_64
libmusicbrainz-devel,libmusicbrainz-devel-2.1.5-18.fc21.x86_64
libofa-devel,libofa-devel-0.9.3-25.fc21.x86_64
pkgconfig(libglade-2.0),libglade2-devel-2.6.4-12.fc21.x86_64
gloox-devel,1:gloox-devel-1.0.10-4.fc21.x86_64
cdk-devel,cdk-devel-5.0.20140118-3.fc21.x86_64
/usr/bin/awk,gawk-4.1.1-5.fc21.x86_64
mftrace,mftrace-1.2.18-5.fc21.x86_64
perl-Pod-Parser,perl-Pod-Parser-1.62-2.fc21.noarch
jam,jam-2.5-17.fc21.x86_64
spandsp-devel,spandsp-devel-0.0.6-0.13.pre21.fc21.x86_64
libeXosip2-devel,libeXosip2-devel-3.6.0-9.fc21.x86_64
vim-common,2:vim-common-7.4.417-1.fc21.x86_64
allegro-tools,allegro-tools-4.4.2-10.fc21.x86_64
iguanaIR-devel,2:iguanaIR-devel-1.1.0-11.fc21.x86_64
libirman-devel,libirman-devel-0.4.5-12.fc21.x86_64
python-sexy,python-sexy-0.1.9-20.fc21.x86_64
pywebkitgtk,pywebkitgtk-1.1.8-9.fc21.x86_64
gtkhtml3-devel,gtkhtml3-devel-4.8.4-2.fc21.x86_64
xmms-devel,1:xmms-devel-1.2.11-22.20071117cvs.fc21.x86_64
libasyncns-devel,libasyncns-devel-0.8-8.fc21.x86_64
python-ldap,python-ldap-2.4.17-1.fc21.x86_64
python-smbpasswd,python-smbpasswd-1.0.1-26.fc21.x86_64
pkgconfig(libwnck-1.0),libwnck-devel-2.31.0-4.fc21.x86_64
pkgconfig(libmenu-cache),menu-cache-devel-0.5.1-3.fc21.x86_64
blt,blt-2.4-43.z.fc21.x86_64
qextserialport-devel,qextserialport-devel-1.2-0.6.beta2.fc21.x86_64
quazip-devel,quazip-devel-0.7-2.fc21.x86_64
pkgconfig(QtLocation),qt-mobility-devel-1.2.2-0.17.20140317git169da60c.fc21.x86_64
pkgconfig(libgps),gpsd-devel-3.11-1.fc21.x86_64
itext,itext-2.1.7-27.fc21.noarch
maven-assembly-plugin,maven-assembly-plugin-2.4-10.fc21.noarch
maven-surefire-maven-plugin,maven-surefire-plugin-2.17-5.fc21.noarch
xmlgraphics-commons,xmlgraphics-commons-1.5-2.fc20.noarch
maven-shade-plugin,maven-shade-plugin-2.3-3.fc21.noarch
plexus-build-api,plexus-build-api-0.0.7-13.fc21.noarch
plexus-containers-component-metadata,plexus-containers-component-metadata-1.5.5-18.fc21.noarch
maven-plugin-plugin,maven-plugin-plugin-3.3-1.fc21.noarch
maven-shared-reporting-impl,maven-reporting-impl-2.2-10.fc21.noarch
java,1:java-1.8.0-openjdk-1.8.0.20-12.b26.fc21.x86_64
plexus-classworlds,plexus-classworlds-2.5.1-5.fc21.noarch
geronimo-parent-poms,geronimo-parent-poms-1.6-19.fc21.noarch
plexus-velocity,plexus-velocity-1.1.8-17.fc21.noarch
apache-commons-configuration,apache-commons-configuration-1.10-3.fc21.noarch
plexus-utils,plexus-utils-3.0.16-3.fc21.noarch
plexus-cli,plexus-cli-1.2-19.fc21.noarch
plexus-containers-container-default,plexus-containers-container-default-1.5.5-18.fc21.noarch
maven-doxia-sitetools,maven-doxia-sitetools-1.4-6.fc21.noarch
pegdown,pegdown-1.4.2-3.fc21.noarch
httpcomponents-project,httpcomponents-project-6-6.fc21.noarch
plexus-i18n,plexus-i18n-1.0-0.6.b10.3.fc21.noarch
maven-doxia-tools,maven-doxia-tools-1.4-16.fc21.noarch
apache-commons-validator,apache-commons-validator-1.4.0-8.fc21.noarch
plexus-containers-component-javadoc,plexus-containers-component-javadoc-1.5.5-18.fc21.noarch
modello-maven-plugin,modello-1.8.1-5.fc21.noarch
geronimo-jms,geronimo-jms-1.1.1-19.fc21.noarch
mvn(org.apache.maven.reporting:maven-reporting-impl),maven-reporting-impl-2.2-10.fc21.noarch
mvn(commons-lang:commons-lang),apache-commons-lang-2.6-16.fc21.noarch
mvn(xalan:xalan),xalan-j2-2.7.1-23.fc21.noarch
mvn(org.apache.maven.reporting:maven-reporting-api),1:maven-reporting-api-3.0-7.fc21.noarch
mvn(commons-io:commons-io),1:apache-commons-io-2.4-12.fc21.noarch
mvn(org.apache.maven.doxia:doxia-sink-api),maven-doxia-sink-api-1.5-7.fc21.noarch
mvn(org.apache.maven.wagon:wagon-provider-api),maven-wagon-provider-api-2.6-10.fc21.noarch
mvn(org.apache.maven:maven-project),maven-project-2.2.1-49.fc21.noarch
mvn(org.apache.maven.doxia:doxia-site-renderer),maven-doxia-sitetools-1.4-6.fc21.noarch
mvn(org.apache.maven:maven-model),maven-3.2.2-1.fc21.noarch
mvn(org.codehaus.plexus:plexus-utils),plexus-utils-3.0.16-3.fc21.noarch
mvn(org.apache.maven:maven-plugin-api),maven-3.2.2-1.fc21.noarch
maven-plugin-testing-harness,maven-plugin-testing-harness-3.1.0-4.fc21.noarch
jgit,jgit-3.5.0-1.fc21.noarch
modello,modello-1.8.1-5.fc21.noarch
maven-failsafe-plugin,maven-failsafe-plugin-2.17-5.fc21.noarch
mvn(org.apache.maven.doxia:doxia-core),maven-doxia-core-1.5-7.fc21.noarch
maven-shared-utils,maven-shared-utils-0.6-2.fc21.noarch
mvn(org.apache.maven:maven-plugin-descriptor),maven-plugin-descriptor-2.2.1-49.fc21.noarch
maven-project,maven-project-2.2.1-49.fc21.noarch
mvn(org.apache.maven.shared:maven-common-artifact-filters),maven-common-artifact-filters-1.4-14.fc21.noarch
mvn(org.apache.maven:maven-parent:pom:),maven-parent-24-3.fc21.noarch
maven-invoker-plugin,maven-invoker-plugin-1.8-10.fc21.noarch
mvn(org.apache.maven:maven-core),maven-3.2.2-1.fc21.noarch
mvn(org.testng:testng),testng-6.8.8-2.fc21.noarch
plexus-containers-component-api,plexus-containers-container-default-1.5.5-18.fc21.noarch
mvn(org.apache.maven.shared:maven-shared-utils),maven-shared-utils-0.6-2.fc21.noarch
mvn(org.apache.maven:maven-toolchain),maven-toolchain-2.2.1-49.fc21.noarch
mvn(com.google.code.findbugs:jsr305),jsr-305-0-0.17.20130910svn.fc21.noarch
mvn(org.apache.maven.shared:maven-verifier),maven-verifier-1.5-4.fc21.noarch
maven-shared-verifier,maven-verifier-1.5-4.fc21.noarch
mvn(org.apache.maven:maven-artifact),maven-3.2.2-1.fc21.noarch
mvn(org.apache.maven.plugin-tools:maven-plugin-annotations),maven-plugin-annotations-3.3-1.fc21.noarch
maven-toolchain,maven-toolchain-2.2.1-49.fc21.noarch
maven-shared-common-artifact-filters,maven-common-artifact-filters-1.4-14.fc21.noarch
mvn(org.apache.maven.doxia:doxia-decoration-model),maven-doxia-sitetools-1.4-6.fc21.noarch
maven-plugin-annotations,maven-plugin-annotations-3.3-1.fc21.noarch
mvn(com.jcraft:jsch.agentproxy.connector-factory),jsch-agent-proxy-connector-factory-0.0.7-6.fc21.noarch
mvn(org.apache.maven.scm:maven-scm-provider-svnexe),maven-scm-1.9-4.fc21.noarch
mvn(org.jsoup:jsoup),jsoup-1.7.2-4.fc21.noarch
mvn(org.apache.maven.plugins:maven-enforcer-plugin),maven-enforcer-plugin-1.3.1-2.fc21.noarch
mvn(biz.aQute:bnd),aqute-bnd-0.0.363-14.fc21.noarch
mvn(org.apache.maven.scm:maven-scm-provider-cvsexe),maven-scm-1.9-4.fc21.noarch
mvn(org.slf4j:slf4j-simple),slf4j-1.7.7-2.fc21.noarch
mvn(org.apache.maven.plugins:maven-shade-plugin),maven-shade-plugin-2.3-3.fc21.noarch
mvn(com.jcraft:jsch),jsch-0.1.51-3.fc21.noarch
mvn(org.codehaus.plexus:plexus-interactivity-api),plexus-interactivity-api-1.0-0.16.alpha6.fc21.noarch
mvn(org.apache.jackrabbit:jackrabbit-webdav),jackrabbit-webdav-2.4.2-9.fc21.noarch
mvn(org.codehaus.plexus:plexus-component-metadata),plexus-containers-component-metadata-1.5.5-18.fc21.noarch
mvn(commons-net:commons-net),apache-commons-net-3.3-4.fc21.noarch
mvn(org.apache.maven.scm:maven-scm-test),maven-scm-test-1.9-4.fc21.noarch
mvn(org.apache.sshd:sshd-core),apache-sshd-0.11.0-2.fc21.noarch
mvn(org.apache.httpcomponents:httpcore),httpcomponents-core-4.3.2-3.fc21.noarch
mvn(org.apache.maven.scm:maven-scm-api),maven-scm-1.9-4.fc21.noarch
mvn(com.jcraft:jsch.agentproxy.jsch),jsch-agent-proxy-jsch-0.0.7-6.fc21.noarch
mvn(org.apache.httpcomponents:httpclient),httpcomponents-client-4.3.5-1.fc21.noarch
mvn(org.slf4j:slf4j-log4j12),slf4j-log4j12-1.7.7-2.fc21.noarch
apache-commons-parent,apache-commons-parent-34-3.fc21.noarch
apache-commons-io,1:apache-commons-io-2.4-12.fc21.noarch
plexus-containers,plexus-containers-1.5.5-18.fc21.noarch
buildnumber-maven-plugin,buildnumber-maven-plugin-1.3-1.fc21.noarch
apache-resource-bundles,apache-resource-bundles-2-14.fc21.noarch
ecl,ecl-13.5.1-7.fc21.x86_64
sbcl,sbcl-1.2.1-2.fc21.x86_64
mecab-devel,mecab-devel-0.996-1.fc21.1.x86_64
tcllib,tcllib-1.15-8.fc21.noarch
ClanLib-devel,ClanLib-devel-2.3.7-3.fc21.x86_64
autotrace,autotrace-0.31.1-40.fc21.x86_64
ruby(bsearch),ruby-bsearch-1.5-12.fc21.noarch
ruby(romkan),ruby-romkan-0.4-13.fc21.noarch
ruby(release),ruby-libs-2.1.2-23.fc21.x86_64
libmatroska-devel,libmatroska-devel-1.4.1-3.fc21.x86_64
mlton,mlton-20130715-6.fc21.x86_64
libannodex-devel,libannodex-devel-0.7.3-21.fc21.x86_64
nss-pkcs11-devel,nss-pkcs11-devel-3.17.1-1.fc21.x86_64
nss-pkcs11-devel-static,nss-pkcs11-devel-3.17.1-1.fc21.x86_64
mvn(org.codehaus.plexus:plexus-compiler-javac),plexus-compiler-2.3-5.fc21.noarch
mvn(com.fasterxml.jackson.core:jackson-annotations),jackson-annotations-2.4.1-1.fc21.noarch
mvn(org.codehaus.plexus:plexus-container-default),plexus-containers-container-default-1.5.5-18.fc21.noarch
mvn(org.codehaus.plexus:plexus-compiler-api),plexus-compiler-2.3-5.fc21.noarch
mvn(org.sonatype.plexus:plexus-build-api),plexus-build-api-0.0.7-13.fc21.noarch
mvn(org.apache.maven.plugins:maven-dependency-plugin),maven-dependency-plugin-2.8-4.fc21.noarch
mvn(org.yaml:snakeyaml),snakeyaml-1.13-3.fc21.noarch
mono-nunit-devel,mono-nunit-devel-2.10.8-8.fc21.x86_64
mono-nunit,mono-nunit-2.10.8-8.fc21.x86_64
xsp-devel,xsp-devel-2.10.2-8.fc21.x86_64
botan-devel,botan-devel-1.10.8-7.fc21.x86_64
exo-devel,exo-devel-0.10.2-8.fc21.x86_64
svrcore-devel,svrcore-devel-4.0.4-12.fc21.x86_64
libmpdclient-devel,libmpdclient-devel-2.9-3.fc21.x86_64
mvn(isorelax:isorelax),1:isorelax-0-0.16.release20050331.fc21.noarch
mvn(org.apache.maven.plugins:maven-source-plugin),maven-source-plugin-2.2.1-8.fc21.noarch
mvn(xml-resolver:xml-resolver),xml-commons-resolver-1.2-17.fc21.noarch
mvn(org.apache.ant:ant),ant-1.9.4-3.fc21.noarch
mvn(org.codehaus.mojo:build-helper-maven-plugin),maven-plugin-build-helper-1.9-2.fc21.noarch
mvn(relaxngDatatype:relaxngDatatype),relaxngDatatype-1.0-12.5.fc21.noarch
mvn(net.java:jvnet-parent:pom:),jvnet-parent-4-5.fc21.noarch
perl(Test::MockModule),perl-Test-MockModule-0.05-21.fc21.noarch
perl(HTML::Template),perl-HTML-Template-2.95-2.fc21.noarch
/usr/bin/hostname,hostname-3.15-4.fc21.x86_64
perl(Directory::Scratch),perl-Directory-Scratch-0.14-18.fc21.noarch
perl(Log::Log4perl),perl-Log-Log4perl-1.44-2.fc21.noarch
mx4j,1:mx4j-3.0.1-20.fc21.noarch
perl(Test::MockObject),perl-Test-MockObject-1.20120301-5.fc21.noarch
perl(Net::SNMP),perl-Net-SNMP-6.0.1-10.fc21.noarch
perl(Net::Server),perl-Net-Server-2.007-3.fc21.noarch
slf4j,slf4j-1.7.7-2.fc21.noarch
jta,geronimo-jta-1.1.1-17.fc21.noarch
perl(CPAN),perl-CPAN-2.00-304.fc21.noarch
mailx,mailx-12.5-13.fc21.x86_64
perl(Test::HTML::Lint),perl-HTML-Lint-2.20-8.fc21.noarch
/usr/bin/mailq,sendmail-8.14.9-5.fc21.x86_64
bind-utils,32:bind-utils-9.9.6-1.fc21.x86_64
qstat,qstat-2.11-17.20131212svn382.fc21.x86_64
radiusclient-ng-devel,radiusclient-ng-devel-0.5.6-12.fc21.x86_64
/usr/sbin/fping,fping-3.10-3.fc21.x86_64
ntp,ntp-4.2.6p5-23.fc21.x86_64
log4net-devel,log4net-devel-1.2.13-3.fc21.x86_64
unique3-devel,unique3-devel-3.0.2-9.fc21.x86_64
/usr/bin/gnome-search-tool,gnome-search-tool-3.6.0-5.fc21.x86_64
bcel-javadoc,bcel-javadoc-6.0-0.2.20140406svn1592769.fc21.noarch
xerces-j2-javadoc,xerces-j2-javadoc-2.11.0-22.fc21.noarch
gdlmm-devel,gdlmm-devel-3.7.3-4.fc21.x86_64
ghex-devel,ghex-devel-3.10.1-3.fc21.x86_64
boost-static,boost-static-1.55.0-3.fc21.x86_64
libnasl-devel,libnasl-devel-2.2.11-13.fc20.x86_64
hdf5-mpich-devel,hdf5-mpich-devel-1.8.13-6.fc21.x86_64
hdf5-openmpi-devel,hdf5-openmpi-devel-1.8.13-6.fc21.x86_64
SDL-static,SDL-static-1.2.15-17.fc21.x86_64
SDL2_ttf-devel,SDL2_ttf-devel-2.0.12-4.fc21.x86_64
SDL2_mixer-devel,SDL2_mixer-devel-2.0.0-7.fc21.x86_64
SDL2_image-devel,SDL2_image-devel-2.0.0-7.fc21.x86_64
inn-devel,inn-devel-2.5.4-2.fc21.x86_64
gperftools-devel,gperftools-devel-2.2.1-2.fc21.x86_64
blt-devel,blt-devel-2.4-43.z.fc21.x86_64
mot-adms,mot-adms-2.3.2-3.fc21.x86_64
pkgconfig(vips),vips-devel-7.40.9-1.fc21.x86_64
pkgconfig(gsl),gsl-devel-1.16-15.fc21.x86_64
pkgconfig(libgoffice-0.8),goffice08-devel-0.8.17-12.fc21.x86_64
pkgconfig(fftw3),fftw-devel-3.3.4-5.fc21.x86_64
libdb,libdb-5.3.28-9.fc21.x86_64
libconfig-devel,libconfig-devel-1.4.9-7.fc21.x86_64
gf2x-devel,gf2x-devel-1.1-5.fc21.x86_64
atlas-devel,atlas-devel-3.10.1-14.fc21.x86_64
net6-devel,net6-devel-1.3.14-7.fc21.x86_64
openbox-devel,openbox-devel-3.5.2-6.fc21.x86_64
qscintilla-devel,qscintilla-devel-2.8.4-1.fc21.x86_64
suitesparse-devel,suitesparse-devel-4.2.1-4.fc21.x86_64
qrupdate-devel,qrupdate-devel-1.1.2-6.fc21.x86_64
arpack-devel,arpack-devel-3.1.3-4.fc21.x86_64
gl2ps-devel,gl2ps-devel-1.3.8-5.fc21.x86_64
openexr-devel,OpenEXR-devel-2.1.0-5.fc21.x86_64
zziplib-devel,zziplib-devel-0.13.62-5.fc21.x86_64
libatomic,libatomic-4.9.1-11.fc21.x86_64
inchi-devel,inchi-devel-1.0.4-8.fc21.x86_64
opencl-headers,opencl-headers-1.2-6.fc21.noarch
libdc1394-devel,libdc1394-devel-2.2.2-3.fc21.x86_64
libzip-devel,libzip-devel-0.11.2-3.fc21.x86_64
hawknl-devel,hawknl-devel-1.68-13.fc21.x86_64
pkcs11-helper-devel,pkcs11-helper-devel-1.11-3.fc21.x86_64
dynamite-devel,dynamite-devel-0.1.1-11.fc21.x86_64
unshield-devel,unshield-devel-1.0-3.fc21.x86_64
file,file-5.19-6.fc21.x86_64
libzrtpcpp-devel,libzrtpcpp-devel-2.3.4-5.fc21.x86_64
libHX-devel,libHX-devel-3.18-3.fc21.x86_64
man-db,man-db-2.6.7.1-8.fc21.x86_64
cryptsetup-luks-devel,cryptsetup-devel-1.6.6-1.fc21.x86_64
netcdf-openmpi-devel,netcdf-openmpi-devel-4.3.2-5.fc21.x86_64
protobuf-devel,protobuf-devel-2.5.0-10.fc21.x86_64
jsoncpp-devel,jsoncpp-devel-0.6.0-0.14.rc2.fc21.x86_64
qt-assistant-adp-devel,qt-assistant-adp-devel-4.6.3-8.fc21.x86_64
netcdf-mpich-devel,netcdf-mpich-devel-4.3.2-5.fc21.x86_64
mpi4py-mpich,mpi4py-mpich-1.3.1-4.fc21.x86_64
mpi4py-openmpi,mpi4py-openmpi-1.3.1-4.fc21.x86_64
pari-galpol,pari-galpol-20140218-2.fc21.noarch
pari-seadata,pari-seadata-20090618-7.fc21.noarch
xmkmf,imake-1.0.6-4.fc21.x86_64
pari-galdata,pari-galdata-20080411-7.fc21.noarch
pari-elldata,pari-elldata-20140113-2.fc21.noarch
openmotif-devel,motif-devel-2.3.4-9.fc21.x86_64
libpaper-devel,libpaper-devel-1.1.24-10.fc21.x86_64
opendbx-devel,opendbx-devel-1.4.6-3.fc21.x86_64
polarssl-devel,polarssl-devel-1.3.8-2.fc21.x86_64
yaml-cpp-devel,yaml-cpp03-devel-0.3.0-6.fc21.x86_64
geoip-devel,GeoIP-devel-1.5.1-6.fc21.x86_64
zeromq-devel,zeromq-devel-2.2.0-10.fc21.x86_64
cryptopp-devel,cryptopp-devel-5.6.2-5.fc21.x86_64
tinycdb-devel,tinycdb-devel-0.78-3.fc21.x86_64
libgenders-devel,libgenders-devel-1.21-2.fc21.x86_64
libnodeupdown-devel,libnodeupdown-devel-1.14-11.fc21.x86_64
perl(Cache::Cache),perl-Cache-Cache-1.06-16.fc21.noarch
perl(Algorithm::Diff),perl-Algorithm-Diff-1.1902-20.fc21.noarch
perl(Test::ClassAPI),perl-Test-ClassAPI-1.06-18.fc21.noarch
perl(Test::CPAN::Meta),perl-Test-CPAN-Meta-0.23-4.fc21.noarch
perl(Test::MinimumVersion),perl-Test-MinimumVersion-0.101081-2.fc21.noarch
perl(Params::Util),perl-Params-Util-1.07-9.fc21.x86_64
perl(Perl::MinimumVersion),perl-Perl-MinimumVersion-1.38-2.fc21.noarch
perl(File::Glob),4:perl-5.18.4-304.fc21.x86_64
perl(Module::Pluggable),1:perl-Module-Pluggable-5.10-2.fc21.noarch
perl(DBD::mysql),perl-DBD-MySQL-4.027-3.fc21.x86_64
perl(Test::Deep),perl-Test-Deep-0.112-2.fc21.noarch
perl(Class::Container),perl-Class-Container-0.12-22.fc21.noarch
perl(Apache::Session),perl-Apache-Session-1.89-11.fc21.noarch
perl(Exception::Class),perl-Exception-Class-1.38-2.fc21.noarch
perl(Params::Validate),perl-Params-Validate-1.13-2.fc21.x86_64
perl(Apache2::Cookie),perl-libapreq2-2.13-17.fc21.x86_64
perl(Locale::Maketext::Simple),1:perl-Locale-Maketext-Simple-0.21-304.fc21.noarch
perl(Pod::Simple::Text),1:perl-Pod-Simple-3.28-293.fc21.noarch
perl(if),4:perl-5.18.4-304.fc21.x86_64
perl(Module::Load::Conditional),perl-Module-Load-Conditional-0.62-2.fc21.noarch
perl(deprecate),4:perl-5.18.4-304.fc21.x86_64
perl(Params::Check),1:perl-Params-Check-0.38-4.fc21.noarch
perl(IPC::Cmd),1:perl-IPC-Cmd-0.92-2.fc21.noarch
perl(Moo),perl-Moo-1.006000-1.fc21.noarch
perl(Types::Standard),perl-Type-Tiny-1.000004-1.fc21.noarch
